Technology,Healthcare,Financial Services,Consumer Cyclical,Communication Services,Industrials,Consumer Defensive,Energy,Utilities,Real Estate,Basic Materials,Return,Volatility
24,14,12,6,4,13,10,8,2,6,1,8.442160928,0.6102131
16,6,12,10,4,15,9,4,8,8,8,13.20881747,0.555587816
15,10,16,13,5,12,4,5,1,10,9,17.45825147,0.618888415
20,13,17,18,5,8,3,3,6,7,0,15.6638249,0.647517503
16,15,13,11,6,11,9,7,4,2,6,13.21025982,0.61264438
17,12,16,13,3,9,5,4,4,10,7,24.57675102,0.636803032
14,16,17,12,4,10,7,7,6,4,3,20.52023326,0.538794852
11,13,15,19,8,9,8,3,5,7,2,20.80464662,0.583576843
13,11,15,15,5,10,9,4,8,5,5,17.86727726,0.60487458
18,15,16,8,4,15,5,4,10,3,2,15.86514944,0.610736316
14,17,11,15,3,12,7,6,11,3,1,9.550818675,0.592350908
17,12,11,11,2,19,7,3,9,6,3,8.26853249,0.584252641
13,14,12,6,8,13,9,2,5,10,8,19.99300827,0.590107104
7,13,15,13,2,20,8,6,7,9,0,20.2918889,0.587024867
10,17,13,10,6,15,8,6,5,7,3,14.19669294,0.548337069
21,12,10,10,6,12,7,10,6,3,3,19.26800408,0.65381785
12,11,13,13,6,15,6,3,7,4,10,19.07644719,0.605945647
17,15,15,11,1,14,7,3,4,9,4,13.53425715,0.582015961
11,14,15,9,3,19,4,6,3,11,5,4.030915871,0.62118871
7,17,7,11,5,13,5,6,14,8,7,15.27361963,0.522935626
20,10,11,7,6,24,6,4,4,8,0,23.61163342,0.597311932
20,11,7,18,6,11,5,5,9,5,3,23.47661074,0.607031559
15,8,15,13,5,16,4,5,4,8,7,15.92436154,0.635244666
13,12,17,10,4,15,7,9,6,3,4,10.72945766,0.580292327
12,17,11,18,5,11,6,5,7,5,3,14.01440942,0.571995955
11,19,13,7,3,14,10,7,6,6,4,18.2299731,0.555032657
14,11,12,16,7,14,8,5,4,6,3,18.91069219,0.618733572
19,12,17,10,1,13,7,5,5,7,4,24.76775375,0.615825258
12,13,20,8,2,17,9,1,9,5,4,19.54199971,0.56750965
16,12,10,19,3,8,7,8,6,7,4,12.0002516,0.627837115
18,10,9,16,6,15,5,4,9,4,4,27.02291978,0.599332687
16,14,14,7,3,13,9,5,5,8,6,20.47226747,0.573189373
17,12,13,9,2,18,8,5,6,8,2,18.66894661,0.644335872
13,12,16,13,3,14,7,2,8,10,2,15.71601272,0.591291337
19,14,16,10,0,14,9,6,4,6,2,15.72731805,0.637817589
17,12,6,8,6,18,5,6,11,5,6,12.99237203,0.562077163
17,12,15,7,8,16,6,4,4,7,4,24.17264023,0.595442847
14,8,18,10,5,15,6,3,10,7,4,18.30113556,0.63320071
15,11,15,7,3,18,5,4,6,10,6,9.577131618,0.610077622
20,13,17,6,3,14,9,3,4,7,4,19.96549653,0.605692587
22,11,9,11,9,12,5,3,7,6,5,18.79207346,0.631618541
14,13,14,11,3,16,6,2,9,6,6,15.49178779,0.573203884
12,11,7,12,7,19,6,7,4,8,7,19.88390772,0.596808552
17,13,19,10,4,10,11,1,8,3,4,17.92973274,0.563578018
19,16,15,7,4,12,6,10,5,3,3,18.6533022,0.586408067
19,16,16,12,2,15,4,0,7,5,4,12.98088336,0.568931507
12,12,13,11,3,13,9,5,11,5,6,12.66065794,0.607179483
16,8,12,13,4,15,8,7,4,11,2,13.71669578,0.635771396
